label	cutoff	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	dataset	ref	region	seed	method	printref	tool
0.03	0.03	41771200	34196600000	5225330	13574300	0.754735	0.999847	0.888815	0.999603	0.888815	0.999451	0.81877	0.816306	761.2444	00:12:41	5185.76	5330.47	5182.02	5182.66	2200.29	4.59	0	human	NA	NA	1	de_novo	NA	mothur
0.03	0.03	42579200	34195800000	6037600	12766300	0.769334	0.999823	0.875812	0.999627	0.875812	0.999451	0.820579	0.819127	854.208	00:14:14	5185.76	5330.47	5182.09	5182.91	2291.63	4.6	0	human	NA	NA	2	de_novo	NA	mothur
0.03	0.03	42557700	34195800000	6029600	12787700	0.768947	0.999824	0.875902	0.999626	0.875902	0.999451	0.820415	0.818947	802.7383	00:13:22	5185.76	5330.47	5183.29	5183.63	0	4.59	0	human	NA	NA	3	de_novo	NA	mothur
0.03	0.03	42624900	34195800000	6000750	12720600	0.77016	0.999825	0.876593	0.999628	0.876593	0.999454	0.821387	0.819937	981.0281	00:16:21	5185.76	5330.47	5182.01	5182.72	0	4.61	0	human	NA	NA	4	de_novo	NA	mothur
0.03	0.03	41817100	34196600000	5273110	13528400	0.755565	0.999846	0.888021	0.999605	0.888021	0.999451	0.818854	0.816456	849.0675	00:14:09	5185.76	5330.47	5182.09	5182.88	2294.5	4.61	0	human	NA	NA	5	de_novo	NA	mothur
0.03	0.03	41909900	34196400000	5411350	13435600	0.757241	0.999842	0.885646	0.999607	0.885646	0.99945	0.818664	0.816426	892.9994	00:14:52	5185.75	5330.47	5182.07	5182.75	2301.55	4.59	0	human	NA	NA	6	de_novo	NA	mothur
0.03	0.03	42659600	34195800000	6049660	12685900	0.770787	0.999823	0.875801	0.999629	0.875801	0.999453	0.82135	0.819945	757.2121	00:12:37	5185.76	5330.47	5182.08	5182.84	2288.81	4.59	0	human	NA	NA	7	de_novo	NA	mothur
0.03	0.03	41814600	34196600000	5271360	13530900	0.75552	0.999846	0.888048	0.999604	0.888048	0.999451	0.818842	0.816441	777.5661	00:12:57	5185.75	5330.47	5182	5182.85	5.13	4.59	0	human	NA	NA	8	de_novo	NA	mothur
0.03	0.03	41764900	34196500000	5342050	13580500	0.754622	0.999844	0.886598	0.999603	0.886598	0.999448	0.817685	0.815304	762.8465	00:12:42	5185.75	5330.47	5182.02	5182.87	625.34	4.59	0	human	NA	NA	9	de_novo	NA	mothur
0.03	0.03	41729200	34196600000	5258750	13616200	0.753977	0.999846	0.888083	0.999602	0.888083	0.999449	0.818021	0.815554	865.3356	00:14:25	5185.76	5330.47	5182.01	5182.94	98.22	4.6	0	human	NA	NA	10	de_novo	NA	mothur
0.03	0.03	42516300	34195900000	5966480	12829200	0.768198	0.999826	0.876936	0.999625	0.876936	0.999451	0.8205	0.818974	843.0502	00:14:03	5185.76	5330.47	5182.01	5182.87	2184.16	4.6	0	human	NA	NA	11	de_novo	NA	mothur
0.03	0.03	42689800	34195800000	6086770	12655600	0.771334	0.999822	0.875211	0.99963	0.875211	0.999453	0.821364	0.819996	763.3124	00:12:43	5185.76	5330.47	5183.29	5183.65	2294.21	4.59	0	human	NA	NA	12	de_novo	NA	mothur
0.03	0.03	42659500	34195800000	6059060	12686000	0.770785	0.999823	0.875631	0.999629	0.875631	0.999453	0.821269	0.81987	848.9824	00:14:08	5185.76	5330.47	5183.23	5183.54	2290.15	4.6	0	human	NA	NA	13	de_novo	NA	mothur
0.03	0.03	42619700	34195800000	5991050	12725800	0.770066	0.999825	0.876755	0.999628	0.876755	0.999454	0.821413	0.819955	747.0037	00:12:27	5185.76	5330.47	5182.01	5182.61	112.7	4.59	0	human	NA	NA	14	de_novo	NA	mothur
0.03	0.03	41831200	34196500000	5295970	13514300	0.75582	0.999845	0.887624	0.999605	0.887624	0.999451	0.818809	0.816436	766.6234	00:12:46	5185.79	5330.47	5183.32	5183.66	2288.81	4.6	0	human	NA	NA	15	de_novo	NA	mothur
0.03	0.03	42683900	34195800000	6076090	12661600	0.771226	0.999822	0.875388	0.99963	0.875388	0.999453	0.82139	0.820013	917.5779	00:15:17	5185.76	5330.47	5183.24	5183.68	7.16	4.6	0	human	NA	NA	16	de_novo	NA	mothur
0.03	0.03	42698800	34195700000	6103520	12646700	0.771495	0.999822	0.874934	0.99963	0.874934	0.999453	0.82132	0.819965	872.0169	00:14:32	5185.76	5330.47	5182.08	5182.56	2290.77	4.59	0	human	NA	NA	17	de_novo	NA	mothur
0.03	0.03	42622400	34195800000	6005330	12723100	0.770116	0.999824	0.876504	0.999628	0.876504	0.999453	0.821322	0.819873	766.144	00:12:46	5185.75	5330.47	5183.15	5183.45	2288.81	4.59	0	human	NA	NA	18	de_novo	NA	mothur
