iter	label	cutoff	numotus	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	dataset	ref	region	seed	method	printref
1	0.03	0.03	43354	43134100	45200700000	6803940	12993100	0.7685	0.9998	0.8638	0.9997	0.8638	0.9996	0.8145	0.8134	human	silva	bact_v4	1	open	FALSE
1	0.03	0.03	15710	38553500	10686200000	5712130	1273520	0.968	0.9995	0.871	0.9999	0.871	0.9993	0.9179	0.9169	human	silva	bact_v4	1	closed	FALSE
1	0.03	0.03	43340	43186600	45200600000	6922580	12940600	0.7694	0.9998	0.8618	0.9997	0.8618	0.9996	0.8141	0.813	human	silva	bact_v4	2	open	FALSE
1	0.03	0.03	15697	38393500	10599400000	5797900	1177860	0.9702	0.9995	0.8688	0.9999	0.8688	0.9993	0.9178	0.9167	human	silva	bact_v4	2	closed	FALSE
1	0.03	0.03	42928	43269500	45199700000	7854040	12857700	0.7709	0.9998	0.8464	0.9997	0.8464	0.9995	0.8075	0.8069	human	silva	bact_v4	3	open	FALSE
1	0.03	0.03	15709	39239700	10865000000	6783910	1240990	0.9693	0.9994	0.8526	0.9999	0.8526	0.9993	0.9087	0.9072	human	silva	bact_v4	3	closed	FALSE
1	0.03	0.03	43423	40649300	45201000000	6529490	15477800	0.7242	0.9999	0.8616	0.9997	0.8616	0.9995	0.7897	0.787	human	silva	bact_v4	4	open	FALSE
1	0.03	0.03	15745	35893600	10554900000	5418930	1824790	0.9516	0.9995	0.8688	0.9998	0.8688	0.9993	0.9089	0.9083	human	silva	bact_v4	4	closed	FALSE
1	0.03	0.03	43408	43245600	45200600000	6902890	12881600	0.7705	0.9998	0.86240000000000006	0.9997	0.86240000000000006	0.9996	0.8149	0.8138	human	silva	bact_v4	5	open	FALSE
1	0.03	0.03	15705	38913500	10809400000	5825790	1327690	0.967	0.9995	0.8698	0.9999	0.8698	0.9993	0.9168	0.9158	human	silva	bact_v4	5	closed	FALSE
1	0.03	0.03	43358	43281600	45200600000	6917370	12845500	0.7711	0.9998	0.8622	0.9997	0.8622	0.9996	0.8152	0.8141	human	silva	bact_v4	6	open	FALSE
1	0.03	0.03	15711	38764900	10704000000	5790240	1137070	0.9715	0.9995	0.87	0.9999	0.87	0.9994	0.9191	0.918	human	silva	bact_v4	6	closed	FALSE
1	0.03	0.03	42954	43146700	45200700000	6844010	12980400	0.7687	0.9998	0.8631	0.9997	0.8631	0.9996	0.8143	0.8132	human	silva	bact_v4	7	open	FALSE
1	0.03	0.03	15723	38613000	10729800000	5669910	1387200	0.9653	0.9995	0.872	0.9999	0.872	0.9993	0.9171	0.9163	human	silva	bact_v4	7	closed	FALSE
1	0.03	0.03	43376	43208900	45200700000	6816400	12918200	0.7698	0.9998	0.8637	0.9997	0.8637	0.9996	0.8152	0.8141	human	silva	bact_v4	8	open	FALSE
1	0.03	0.03	15711	38396700	10601500000	5700490	1250210	0.9685	0.9995	0.8707	0.9999	0.8707	0.9993	0.918	0.917	human	silva	bact_v4	8	closed	FALSE
1	0.03	0.03	42875	40677900	45200000000	7474180	15449200	0.7247	0.9998	0.8448	0.9997	0.8448	0.9995	0.7822	0.7802	human	silva	bact_v4	9	open	FALSE
1	0.03	0.03	15704	36410400	10707100000	6299840	1274620	0.9662	0.9994	0.8525	0.9999	0.8525	0.9993	0.9072	0.9058	human	silva	bact_v4	9	closed	FALSE
1	0.03	0.03	42943	40667600	45200100000	7421150	15459600	0.7246	0.9998	0.8457	0.9997	0.8457	0.9995	0.7825	0.7804	human	silva	bact_v4	10	open	FALSE
1	0.03	0.03	15723	36366300	10594600000	6303470	1137140	0.9697	0.9994	0.8523	0.9999	0.8523	0.9993	0.9087	0.9072	human	silva	bact_v4	10	closed	FALSE
1	0.03	0.03	52282	43774400	53034000000	6354210	14247300	0.7544	0.9999	0.8732	0.9997	0.8732	0.9996	0.8115	0.8095	human	gg	bact_v4	1	open	FALSE
1	0.03	0.03	24910	42154200	20902100000	5899300	7105700	0.8558	0.9997	0.8772	0.9997	0.8772	0.9994	0.8661	0.8664	human	gg	bact_v4	1	closed	FALSE
1	0.03	0.03	52320	44288700	53033700000	6656190	13732900	0.7633	0.9999	0.8693	0.9997	0.8693	0.9996	0.8144	0.8129	human	gg	bact_v4	2	open	FALSE
1	0.03	0.03	24902	42668000	20954100000	6194830	6598990	0.8661	0.9997	0.8732	0.9997	0.8732	0.9994	0.8693	0.8696	human	gg	bact_v4	2	closed	FALSE
1	0.03	0.03	52245	43147800	53034200000	6144310	14873900	0.7436	0.9999	0.8753	0.9997	0.8753	0.9996	0.8066	0.8041	human	gg	bact_v4	3	open	FALSE
1	0.03	0.03	24864	41521900	20937500000	5691460	7620370	0.8449	0.9997	0.8795	0.9996	0.8795	0.9994	0.8617	0.8618	human	gg	bact_v4	3	closed	FALSE
1	0.03	0.03	52316	43517000	53034300000	6054250	14504700	0.75	0.9999	0.8779	0.9997	0.8779	0.9996	0.8112	0.8089	human	gg	bact_v4	4	open	FALSE
1	0.03	0.03	24884	41893400	20904500000	5602590	7298570	0.8516	0.9997	0.882	0.9997	0.882	0.9994	0.8664	0.8666	human	gg	bact_v4	4	closed	FALSE
1	0.03	0.03	52384	43529400	53034400000	5946630	14492300	0.7502	0.9999	0.8798	0.9997	0.8798	0.9996	0.8123	0.8099	human	gg	bact_v4	5	open	FALSE
1	0.03	0.03	24903	41895800	20900000000	5494000	7456770	0.8489	0.9997	0.8841	0.9996	0.8841	0.9994	0.866	0.8661	human	gg	bact_v4	5	closed	FALSE
1	0.03	0.03	52333	43522800	53034400000	5938300	14498800	0.7501	0.9999	0.8799	0.9997	0.8799	0.9996	0.8123	0.8099	human	gg	bact_v4	6	open	FALSE
1	0.03	0.03	24886	41912800	20959700000	5487310	7511860	0.848	0.9997	0.8842	0.9996	0.8842	0.9994	0.8656	0.8657	human	gg	bact_v4	6	closed	FALSE
