label	cutoff	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	dataset	ref	region	seed	method	printref	iter	numotus
0.03	0.03	11672200	25756100000	2433620	2991720	0.795981	0.999906	0.827474	0.999884	0.827474	0.999789	0.811469	0.811422	marine	silva	bact_v4	1	de_novo	NA	NA	NA
0.03	0.03	11677100	25756100000	2440540	2986810	0.796315	0.999905	0.827128	0.999884	0.827128	0.999789	0.81147	0.811429	marine	silva	bact_v4	2	de_novo	NA	NA	NA
0.03	0.03	11682100	25756100000	2448030	2981820	0.796656	0.999905	0.826751	0.999884	0.826751	0.999789	0.811458	0.811424	marine	silva	bact_v4	3	de_novo	NA	NA	NA
0.03	0.03	11676500	25756100000	2438960	2987420	0.796274	0.999905	0.827213	0.999884	0.827213	0.999789	0.811491	0.811449	marine	silva	bact_v4	4	de_novo	NA	NA	NA
0.03	0.03	11672400	25756100000	2434920	2991460	0.795999	0.999905	0.827401	0.999884	0.827401	0.999789	0.811443	0.811396	marine	silva	bact_v4	5	de_novo	NA	NA	NA
0.03	0.03	11676800	25756100000	2437440	2987140	0.796293	0.999905	0.827306	0.999884	0.827306	0.99979	0.811546	0.811503	marine	silva	bact_v4	6	de_novo	NA	NA	NA
0.03	0.03	11676500	25756100000	2442230	2987440	0.796273	0.999905	0.827021	0.999884	0.827021	0.999789	0.811396	0.811356	marine	silva	bact_v4	7	de_novo	NA	NA	NA
0.03	0.03	11682900	25756100000	2447570	2980970	0.796714	0.999905	0.826788	0.999884	0.826788	0.999789	0.811506	0.811472	marine	silva	bact_v4	8	de_novo	NA	NA	NA
0.03	0.03	11675400	25756100000	2437140	2988490	0.796201	0.999905	0.827307	0.999884	0.827307	0.999789	0.8115	0.811456	marine	silva	bact_v4	9	de_novo	NA	NA	NA
0.03	0.03	11685600	25756100000	2454000	2978310	0.796895	0.999905	0.826445	0.999884	0.826445	0.999789	0.81143	0.811401	marine	silva	bact_v4	10	de_novo	NA	NA	NA
0.03	0.03	7789480	8990230000	989408	2257860	0.775278	0.99989	0.887297	0.999749	0.887297	0.99963900000000006	0.829222	0.827514	mouse	silva	bact_v4	1	de_novo	NA	NA	NA
0.03	0.03	7797120	8990220000	997537	2250230	0.776038	0.999889	0.886575	0.99975	0.886575	0.99963900000000006	0.82929	0.827632	mouse	silva	bact_v4	2	de_novo	NA	NA	NA
0.03	0.03	7780670	8990230000	988050	2266670	0.774401	0.99989	0.887321	0.999748	0.887321	0.999638	0.828764	0.827024	mouse	silva	bact_v4	3	de_novo	NA	NA	NA
0.03	0.03	7766570	8990250000	968550	2280780	0.772997	0.999892	0.88912	0.999746	0.88912	0.99963900000000006	0.828852	0.827002	mouse	silva	bact_v4	4	de_novo	NA	NA	NA
0.03	0.03	7790050	8990230000	988784	2257290	0.775335	0.99989	0.887367	0.999749	0.887367	0.99963900000000006	0.829285	0.827577	mouse	silva	bact_v4	5	de_novo	NA	NA	NA
0.03	0.03	7799730	8990220000	998185	2247620	0.776297	0.999889	0.886543	0.99975	0.886543	0.99963900000000006	0.829415	0.827766	mouse	silva	bact_v4	6	de_novo	NA	NA	NA
0.03	0.03	7796400	8990220000	994422	2250940	0.775967	0.999889	0.88688	0.99975	0.88688	0.99963900000000006	0.829395	0.827724	mouse	silva	bact_v4	7	de_novo	NA	NA	NA
0.03	0.03	7815120	8990200000	1017430	2232230	0.777829	0.999887	0.884809	0.999752	0.884809	0.99963900000000006	0.82942	0.827877	mouse	silva	bact_v4	8	de_novo	NA	NA	NA
0.03	0.03	7807800	8990210000	1010730	2239550	0.7771	0.999888	0.885385	0.999751	0.885385	0.99963900000000006	0.829301	0.827716	mouse	silva	bact_v4	9	de_novo	NA	NA	NA
0.03	0.03	7792480	8990220000	993833	2254870	0.775576	0.999889	0.886889	0.999749	0.886889	0.99963900000000006	0.829191	0.827506	mouse	silva	bact_v4	10	de_novo	NA	NA	NA
0.03	0.03	8702600	40427300000	2078840	4589020	0.654744	0.999949	0.807184	0.999887	0.807184	0.999835	0.726899	0.723016	soil	silva	bact_v4	1	de_novo	NA	NA	NA
0.03	0.03	8707970	40427300000	2075260	4583640	0.655148	0.999949	0.807547	0.999887	0.807547	0.999835	0.727288	0.723408	soil	silva	bact_v4	2	de_novo	NA	NA	NA
0.03	0.03	8684600	40427300000	2052360	4607010	0.65339	0.999949	0.808851	0.999886	0.808851	0.999835	0.726897	0.722856	soil	silva	bact_v4	3	de_novo	NA	NA	NA
0.03	0.03	8661700	40427400000	2014150	4629920	0.651666	0.99995	0.811336	0.999885	0.811336	0.999836	0.727052	0.722788	soil	silva	bact_v4	4	de_novo	NA	NA	NA
0.03	0.03	8670540	40427400000	2027940	4621080	0.652331	0.99995	0.810446	0.999886	0.810446	0.999836	0.727024	0.722843	soil	silva	bact_v4	5	de_novo	NA	NA	NA
0.03	0.03	8723430	40427300000	2105950	4568180	0.656311	0.999948	0.805534	0.999887	0.805534	0.999835	0.727024	0.723306	soil	silva	bact_v4	6	de_novo	NA	NA	NA
0.03	0.03	8768030	40427200000	2177260	4523580	0.659667	0.999946	0.801078	0.999888	0.801078	0.999834	0.726861	0.723527	soil	silva	bact_v4	7	de_novo	NA	NA	NA
0.03	0.03	8764380	40427200000	2178370	4527240	0.659391	0.999946	0.80093	0.999888	0.80093	0.999834	0.726643	0.723302	soil	silva	bact_v4	8	de_novo	NA	NA	NA
0.03	0.03	8716340	40427300000	2095330	4575270	0.655778	0.999948	0.806197	0.999887	0.806197	0.999835	0.727028	0.723249	soil	silva	bact_v4	9	de_novo	NA	NA	NA
0.03	0.03	8700730	40427300000	2078730	4590890	0.654603	0.999949	0.807158	0.999886	0.807158	0.999835	0.72681	0.72292	soil	silva	bact_v4	10	de_novo	NA	NA	NA
0.03	0.03	10844300	16814300000	2067040	3819650	0.7395	0.9999	0.8399	0.9998	0.8399	0.9997	0.7879	0.7865	marine	silva	bact_v4	1	open	FALSE	1	46364
0.03	0.03	9143300	3267090000	1825170	455588	0.9525	0.9994	0.8336	0.9999	0.8336	0.9993	0.8907	0.8891	marine	silva	bact_v4	1	closed	FALSE	1	16044
0.03	0.03	10856200	16814300000	2073040	3807680	0.7403	0.9999	0.8397	0.9998	0.8397	0.9997	0.7883	0.7869	marine	silva	bact_v4	2	open	FALSE	1	46348
0.03	0.03	9152830	3252460000	1826300	434823	0.9546	0.9994	0.8337	0.9999	0.8337	0.9993	0.8918	0.8901	marine	silva	bact_v4	2	closed	FALSE	1	16044
0.03	0.03	10893000	16814300000	2073780	3770870	0.7428	0.9999	0.8401	0.9998	0.8401	0.9997	0.7898	0.7885	marine	silva	bact_v4	3	open	FALSE	1	46337
0.03	0.03	9185180	3269360000	1827420	407748	0.9575	0.9994	0.8341	0.9999	0.8341	0.9993	0.8933	0.8915	marine	silva	bact_v4	3	closed	FALSE	1	16031
0.03	0.03	10889500	16814300000	2076230	3774440	0.7426	0.9999	0.8399	0.9998	0.8399	0.9997	0.7896	0.7882	marine	silva	bact_v4	4	open	FALSE	1	46332
0.03	0.03	9180860	3275660000	1833370	431695	0.9551	0.9994	0.8335	0.9999	0.8335	0.9993	0.8919	0.8902	marine	silva	bact_v4	4	closed	FALSE	1	16027
0.03	0.03	10928600	16814300000	2080460	3735280	0.7453	0.9999	0.8401	0.9998	0.8401	0.9997	0.7911	0.7898	marine	silva	bact_v4	5	open	FALSE	1	46393
0.03	0.03	9220220	3276770000	1838650	410412	0.9574	0.9994	0.8337	0.9999	0.8337	0.9993	0.8931	0.8913	marine	silva	bact_v4	5	closed	FALSE	1	16029
0.03	0.03	10854500	16814300000	2074380	3809380	0.7402	0.9999	0.8396	0.9998	0.8396	0.9997	0.7882	0.7868	marine	silva	bact_v4	6	open	FALSE	1	46403
0.03	0.03	9169790	3276140000	1832720	448816	0.9533	0.9994	0.8334	0.9999	0.8334	0.9993	0.891	0.8894	marine	silva	bact_v4	6	closed	FALSE	1	16011
0.03	0.03	10914900	16814300000	2086040	3749000	0.7443	0.9999	0.8395	0.9998	0.8395	0.9997	0.7903	0.7891	marine	silva	bact_v4	7	open	FALSE	1	46317
0.03	0.03	9203330	3256320000	1838620	393930	0.959	0.9994	0.8335	0.9999	0.8335	0.9993	0.8937	0.8918	marine	silva	bact_v4	7	closed	FALSE	1	16032
0.03	0.03	10927900	16814300000	2089790	3736020	0.7452	0.9999	0.8395	0.9998	0.8395	0.9997	0.7908	0.7895	marine	silva	bact_v4	8	open	FALSE	1	46318
0.03	0.03	9230510	3271190000	1845650	383296	0.9601	0.9994	0.8334	0.9999	0.8334	0.9993	0.8942	0.8923	marine	silva	bact_v4	8	closed	FALSE	1	16033
0.03	0.03	10925400	16814300000	2084620	3738550	0.7451	0.9999	0.8398	0.9998	0.8398	0.9997	0.7908	0.7896	marine	silva	bact_v4	9	open	FALSE	1	46356
0.03	0.03	9217900	3272650000	1842300	396767	0.9587	0.9994	0.8334	0.9999	0.8334	0.9993	0.8936	0.8917	marine	silva	bact_v4	9	closed	FALSE	1	16020
0.03	0.03	10921100	16814300000	2075310	3742800	0.7448	0.9999	0.8403	0.9998	0.8403	0.9997	0.7909	0.7897	marine	silva	bact_v4	10	open	FALSE	1	46387
0.03	0.03	9216300	3274180000	1834020	417633	0.9566	0.9994	0.834	0.9999	0.834	0.9993	0.8929	0.8911	marine	silva	bact_v4	10	closed	FALSE	1	16054
0.03	0.03	7133040	6346560000	967060	2914310	0.7099	0.9998	0.8806	0.9995	0.8806	0.9994	0.7904	0.7861	mouse	silva	bact_v4	1	open	FALSE	1	21123
0.03	0.03	3979250	1997960000	425678	229711	0.9454	0.9998	0.9034	0.9999	0.9034	0.9997	0.924	0.9239	mouse	silva	bact_v4	1	closed	FALSE	1	15090
0.03	0.03	7100680	6346590000	939016	2946670	0.7067	0.9999	0.8832	0.9995	0.8832	0.9994	0.7898	0.7852	mouse	silva	bact_v4	2	open	FALSE	1	21143
0.03	0.03	3983170	2004290000	426719	222000	0.9472	0.9998	0.9032	0.9999	0.9032	0.9997	0.9248	0.9247	mouse	silva	bact_v4	2	closed	FALSE	1	15103
0.03	0.03	7103880	6346580000	946609	2943470	0.707	0.9999	0.8824	0.9995	0.8824	0.9994	0.7896	0.7851	mouse	silva	bact_v4	3	open	FALSE	1	21160
0.03	0.03	3973440	2003090000	426019	229553	0.9454	0.9998	0.9032	0.9999	0.9032	0.9997	0.9239	0.9238	mouse	silva	bact_v4	3	closed	FALSE	1	15099
0.03	0.03	7140330	6346580000	950705	2907010	0.7107	0.9999	0.8825	0.9995	0.8825	0.9994	0.7916	0.7873	mouse	silva	bact_v4	4	open	FALSE	1	21150
0.03	0.03	4017340	2010670000	436747	205757	0.9513	0.9998	0.9019	0.9999	0.9019	0.9997	0.9261	0.926	mouse	silva	bact_v4	4	closed	FALSE	1	15112
0.03	0.03	7116440	6346580000	948094	2930910	0.7083	0.9999	0.8824	0.9995	0.8824	0.9994	0.7903	0.7858	mouse	silva	bact_v4	5	open	FALSE	1	21158
0.03	0.03	3974230	1993220000	428739	225530	0.9463	0.9998	0.9026	0.9999	0.9026	0.9997	0.924	0.9239	mouse	silva	bact_v4	5	closed	FALSE	1	15102
0.03	0.03	7144380	6346580000	953027	2902970	0.7111	0.9998	0.8823	0.9995	0.8823	0.9994	0.7918	0.7875	mouse	silva	bact_v4	6	open	FALSE	1	21171
0.03	0.03	4016000	2013020000	434594	213707	0.9495	0.9998	0.9024	0.9999	0.9024	0.9997	0.9255	0.9253	mouse	silva	bact_v4	6	closed	FALSE	1	15129
0.03	0.03	7141810	6346580000	954551	2905540	0.7108	0.9998	0.8821	0.9995	0.8821	0.9994	0.7916	0.7872	mouse	silva	bact_v4	7	open	FALSE	1	21122
0.03	0.03	4007180	2000220000	436324	207751	0.9507	0.9998	0.9018	0.9999	0.9018	0.9997	0.9258	0.9256	mouse	silva	bact_v4	7	closed	FALSE	1	15082
