label	cutoff	numotus	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	dataset	ref	region	seed	method	printref	fraction_mapped	ref_weight	ref_frac	sample_frac	tool	criteria
0.03	0.03	12247	34655500	8410910000	3981280	5982390	0.8528	0.9995	0.897	0.9993	0.897	0.9988	0.874	0.8743	568.6057	00:09:28	10900.93	11318.15	10893.77	10895.8	17.54	2.29	0	human	silva	bact_v4	1	open	FALSE	1	NA	NA	NA	mothur	NA
0.03	0.03	12251	34645500	8410900000	3990100	5992360	0.8525	0.9995	0.8967	0.9993	0.8967	0.9988	0.8738	0.8741	540.2183	00:09:00	9882.67	10301.99	9875.98	9877.9	8.22	2.28	0	human	silva	bact_v4	2	open	FALSE	1	NA	NA	NA	mothur	NA
0.03	0.03	12257	34637500	8410890000	3995850	6000400	0.8523	0.9995	0.8966	0.9993	0.8966	0.9988	0.8736	0.8739	521.2106	00:08:41	15114.61	15532.61	15108.2	15110.47	1695.25	0.05	0	human	silva	bact_v4	3	open	FALSE	1	NA	NA	NA	mothur	NA
0.03	0.03	12275	34657000	8410810000	4080050	5980870	0.8528	0.9995	0.8947	0.9993	0.8947	0.9988	0.8729	0.8732	539.5946	00:08:59	9747.51	10166.37	9740.16	9742.24	11.34	2.29	0	human	silva	bact_v4	4	open	FALSE	1	NA	NA	NA	mothur	NA
0.03	0.03	12237	34663800	8410900000	3983070	5974110	0.853	0.9995	0.8969	0.9993	0.8969	0.9988	0.8741	0.8744	634.6567	00:10:34	7493.6	7910.25	7491.21	7491.6	1761.8	2.31	0	human	silva	bact_v4	5	open	FALSE	1	NA	NA	NA	mothur	NA
0.03	0.03	12209	34679800	8410880000	4003290	5958110	0.8534	0.9995	0.8965	0.9993	0.8965	0.9988	0.8741	0.8744	601.0365	00:10:01	7814.84	8241.03	7813.64	7813.84	25.9	2.31	0	human	silva	bact_v4	6	open	FALSE	1	NA	NA	NA	mothur	NA
0.03	0.03	12237	34678000	8410890000	3994220	5959870	0.8533	0.9995	0.8967	0.9993	0.8967	0.9988	0.8742	0.8745	508.6531	00:08:28	9671.99	10092.77	9666.41	9668.67	1706.24	2.28	0	human	silva	bact_v4	7	open	FALSE	1	NA	NA	NA	mothur	NA
0.03	0.03	12274	34649500	8410900000	3990410	5988370	0.8526	0.9995	0.8967	0.9993	0.8967	0.9988	0.8738	0.8741	511.2641	00:08:31	7652.63	8069.83	7645.53	7648.22	13.02	2.28	0	human	silva	bact_v4	8	open	FALSE	1	NA	NA	NA	mothur	NA
0.03	0.03	12271	34635200	8410920000	3969460	6002700	0.8523	0.9995	0.8972	0.9993	0.8972	0.9988	0.8739	0.8742	543.3532	00:09:03	7528.11	7947.64	7523.22	7524.87	27.79	2.29	0	human	silva	bact_v4	9	open	FALSE	1	NA	NA	NA	mothur	NA
0.03	0.03	12238	34661900	8410880000	4009820	5976030	0.8529	0.9995	0.8963	0.9993	0.8963	0.9988	0.8738	0.8741	519.7065	00:08:39	15105.7	15526.66	15103.5	15103.84	38.02	0.04	0	human	silva	bact_v4	10	open	FALSE	1	NA	NA	NA	mothur	NA
