iter	label	cutoff	numotus	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	dataset	ref	region	seed	method	printref	ref_weight	ref_frac	sample_frac
1	0.03	0.03	32862	8202770	17049100000	1928670	4386470	0.6516	0.9999	0.8096	0.9997	0.8096	0.9996	0.7261	0.7221	soil	NA	NA	1	closed	FALSE	none	100-20	20
2	0.03	0.03	32324	8555000	17070000000	2582000	4037000	0.6794	0.9998	0.7681	0.9998	0.7681	0.9996	0.7222	0.7211	soil	NA	NA	1	closed	FALSE	none	100-20	20
3	0.03	0.03	32862	8190000	17040000000	1881000	4402000	0.6504	0.9999	0.8132	0.9997	0.8132	0.9996	0.7271	0.7228	soil	NA	NA	1	closed	FALSE	none	100-20	20
4	0.03	0.03	32709	8178000	17040000000	2018000	4412000	0.6496	0.9999	0.8021	0.9997	0.8021	0.9996	0.7216	0.7178	soil	NA	NA	1	closed	FALSE	none	100-20	20
5	0.03	0.03	32850	8174000	17050000000	1883000	4418000	0.6491	0.9999	0.8128	0.9997	0.8128	0.9996	0.7262	0.7218	soil	NA	NA	1	closed	FALSE	none	100-20	20
6	0.03	0.03	32959	8171000	17060000000	1919000	4418000	0.6491	0.9999	0.8098	0.9997	0.8098	0.9996	0.7248	0.7206	soil	NA	NA	1	closed	FALSE	none	100-20	20
7	0.03	0.03	32804	7800000	17060000000	1771000	4791000	0.6195	0.9999	0.815	0.9997	0.815	0.9996	0.7104	0.7039	soil	NA	NA	1	closed	FALSE	none	100-20	20
8	0.03	0.03	32382	7901000	17020000000	1956000	4685000	0.6278	0.9999	0.8015	0.9997	0.8015	0.9996	0.7092	0.7041	soil	NA	NA	1	closed	FALSE	none	100-20	20
9	0.03	0.03	32772	7723000	17030000000	1704000	4865000	0.6136	0.9999	0.8193	0.9997	0.8193	0.9996	0.7088	0.7017	soil	NA	NA	1	closed	FALSE	none	100-20	20
10	0.03	0.03	32919	8231000	17040000000	2052000	4358000	0.6538	0.9999	0.8004	0.9997	0.8004	0.9996	0.7232	0.7197	soil	NA	NA	1	closed	FALSE	none	100-20	20
