seq	abundance	similarity
SRR2143516.1	330554	1556
SRR2143516.4	36170	666
SRR2143955.3925	1	78
SRR2143603.48581	4	0
SRR2143516.7	3	393
SRR2143569.711	1	1378
SRR2143516.11	550321	3638
SRR2143516.17	177552	1722
SRR2143561.1	16122	807
SRR2143698.16813	1	75
SRR2143691.79856	2	280
SRR2143561.2	237283	1249
SRR2143516.19	361946	1460
SRR2143912.11748	2	1708
SRR2143561.3	82160	536
SRR2143608.1	287760	706
SRR2143567.10406	1	1061
SRR2143561.4	27468	100
SRR2143990.8102	1	1055
SRR2143516.22	147149	2282
SRR2143617.4210	1	2202
SRR2143656.6982	1	2752
SRR2143531.1927	1	84
SRR2143582.12346	1	1969
SRR2143973.65482	2	0
SRR2143845.32685	1	1073
SRR2143854.7491	2	6
SRR2143889.154754	1	116
SRR2143561.6	460679	885
SRR2143983.10735	1	474
SRR2144072.17364	1	2
SRR2143516.23	53323	352
SRR2143785.28305	1	944
SRR2144129.19831	62	37
SRR2143521.36193	302	595
SRR2143536.17555	1	828
SRR2143577.24204	1	640
SRR2143722.526	2	32
SRR2143738.7617	1	311
SRR2143895.40510	1	2883
SRR2143705.42387	1	1471
SRR2143580.64384	1	2827
SRR2143607.22812	3	56
SRR2143935.4974	2	151
SRR2144102.21132	1	2245
SRR2143656.1	136592	612
SRR2143909.13687	5	46
SRR2143882.17055	1	33
SRR2143596.14406	1	451
SRR2143656.2	16051	560
SRR2143583.16338	1	544
SRR2143549.59759	1	2584
SRR2143605.12679	1	1466
SRR2143902.53966	1	241
SRR2143516.2355	1	702
SRR2143977.44508	1	132
SRR2143658.9728	1	25
SRR2143681.53353	4	90
SRR2143580.39168	3	586
SRR2143530.73534	2	23
SRR2143728.10221	2	194
SRR2143691.110437	1	82
SRR2144039.31099	2	0
SRR2143630.9309	1	2194
SRR2144118.59357	2	2965
SRR2143829.27133	1	25
SRR2143736.17494	1	493
SRR2143760.8185	1	703
SRR2143669.203554	1	1245
SRR2143633.21818	2	20
SRR2144011.361	1	35
SRR2143547.52608	1	395
SRR2143862.67037	1	101
SRR2143949.4979	17	503
SRR2144113.27417	6	58
SRR2143814.16953	1	3084
SRR2144095.13635	1	159
SRR2143597.45774	1	29
SRR2143703.2	1286715	4155
SRR2143801.14899	1	174
SRR2144022.30980	1	405
SRR2143656.3	42908	186
SRR2143561.9559	2	108
SRR2143912.19846	1	2548
SRR2143703.4152	171	3565
SRR2143832.3344	1	95
SRR2143964.44197	1	473
SRR2143823.472435	1	20
SRR2143646.103697	5	1637
SRR2143884.3492	1	247
SRR2143608.6	206453	874
SRR2144096.83122	1	93
SRR2143978.100083	1	1289
SRR2144010.8761	2	13
SRR2143977.10973	1	263
SRR2143864.23402	1	551
SRR2143603.20923	1	9
SRR2143736.52431	2	103
SRR2144099.31555	1	715
SRR2143885.34705	1	1839
SRR2143929.62043	1	28
SRR2143922.63761	1	1560
SRR2143723.52375	1	48
SRR2143823.173168	2	0
SRR2144024.9245	2	663
SRR2143749.27254	1	2525
SRR2143861.21690	1	3
SRR2143630.33281	1	26
SRR2144124.17185	1	37
SRR2143597.48245	1	23
SRR2143823.379409	1	70
SRR2143783.2555	2	276
SRR2143823.48184	1	659
SRR2143983.52372	1	116
SRR2143714.30335	1	259
SRR2143703.3	3423	235
SRR2143818.61382	1	1387
SRR2143754.58498	2	36
SRR2143823.626642	1	726
SRR2143516.25	23738	173
SRR2143762.9145	1	99
SRR2143536.45665	1	295
SRR2143554.16229	1	119
SRR2144031.27660	1	2251
SRR2143819.22755	3	2863
SRR2143691.110438	10	37
SRR2143787.17824	6	1
SRR2143966.45931	3	109
SRR2143646.70465	2	2895
SRR2143823.534411	1	68
SRR2143544.27112	1	129
SRR2143636.5406	1	332
SRR2143705.27858	2	200
SRR2143842.32734	1	625
SRR2144092.12324	10	67
SRR2143679.183120	1	0
SRR2143711.53273	2	223
SRR2143544.47050	1	582
SRR2143833.30942	8	1251
SRR2143963.34677	1	239
SRR2143983.3813	1	54
SRR2143824.43887	1	62
SRR2143791.7391	1	3380
SRR2144030.69187	1	151
SRR2143862.55060	4	70
SRR2143811.50075	1	202
SRR2144004.41265	4	36
SRR2143751.33071	1	372
SRR2143601.22657	13	232
SRR2143882.6516	1	4
SRR2143823.396268	3	638
SRR2143929.69064	3	84
SRR2143605.38752	1	521
SRR2143714.9972	1	1129
SRR2143598.49605	1	124
SRR2143679.123861	1	101
SRR2144033.13111	1	1110
SRR2143862.86016	1	1135
SRR2144008.118634	1	81
SRR2144030.49513	2	78
SRR2143623.5932	1	64
SRR2143626.21549	1	53
SRR2144091.60973	1	287
SRR2143821.90088	1	32
SRR2143853.14722	1	142
SRR2143993.24997	5	121
SRR2143777.9652	6	353
SRR2143979.7108	7	117
SRR2143742.11041	1	84
SRR2143798.9434	7	829
SRR2144096.1102	1	1
SRR2143679.107455	1	198
SRR2143903.2705	1	816
SRR2144095.49774	1	1057
SRR2143668.62926	2	1119
SRR2144031.10395	1	717
SRR2143823.130867	1	2780
SRR2143760.9145	9	2726
SRR2144094.28071	1	2834
SRR2143668.22308	2	124
SRR2143687.7269	2	37
SRR2143823.322085	5	1032
SRR2144102.36184	1	430
SRR2143722.2259	5	41
SRR2143589.77748	3	161
SRR2143583.12939	43	15
SRR2143569.23317	1	849
SRR2143607.64076	1	112
SRR2143948.119365	3	9
SRR2143570.30016	1	232
SRR2143951.15836	1	49
SRR2143739.39166	1	477
SRR2143613.10750	1	319
SRR2143810.11841	972	379
SRR2143598.7985	2	3
SRR2143585.106484	112	7
SRR2143608.9502	1	85
SRR2143969.21910	1	299
SRR2143522.35719	1	17
SRR2143909.18047	3	107
SRR2144129.27687	1	43
SRR2143614.38484	4	204
SRR2143862.79424	1	684
SRR2143973.79182	1	316
SRR2143905.132612	1	293
SRR2143542.52606	2	1184
SRR2143962.49146	1	1576
SRR2143817.14196	3	297
SRR2143823.561377	2	579
SRR2144101.94278	2	0
SRR2143862.122752	1	311
SRR2144118.54772	1	362
SRR2143754.11104	1	15
SRR2143723.14327	3	686
SRR2143576.62416	1	19
SRR2144022.20367	1	763
SRR2143974.14862	2	657
SRR2143578.54352	1	86
SRR2143546.23305	1	2
SRR2143899.28879	2	51
SRR2143548.11587	4	113
