iter	label	cutoff	numotus	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	dataset	ref	region	seed	method	printref	ref_weight	ref_frac	sample_frac	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	fraction_mapped	num_ref_seqs	num_sample_seqs	num_total_seqs	n_gaps	total_chars
1	0.03	0.03	42266	42418600	33943200000	6076890	12872100	0.7672	0.9998	0.8747	0.9996	0.8747	0.9994	0.8189	0.8174	human	NA	NA	1	open	FALSE	simple	0.1	0.9	1050.5149	00:17:30	10269.9	10420.24	10265.85	10267.04	2286.91	2295.39	0	NA	26154	235385	261539	89731273	155877244
1	0.03	0.03	42266	42418600	33943200000	6076890	12872100	0.7672	0.9998	0.8747	0.9996	0.8747	0.9994	0.8189	0.8174	human	NA	NA	1	open	FALSE	simple	0.1	0.9	1050.5149	00:17:30	10269.9	10420.24	10265.85	10267.04	2286.91	2295.39	0	NA	26154	235385	261539	89731273	155877244
1	0.03	0.03	7742	42341900	20918200000	6066840	11387100	0.7881	0.9997	0.8747	0.9995	0.8747	0.9992	0.8298	0.8291	human	NA	NA	1	closed	FALSE	simple	0.1	0.9	1049.3254	00:17:29	10102.26	10254.36	10100.21	10100.36	2286.91	2227.75	0	0.762	26154	235385	261539	89731273	155877244
1	0.03	0.03	7742	42341900	20918200000	6066840	11387100	0.7881	0.9997	0.8747	0.9995	0.8747	0.9992	0.8298	0.8291	human	NA	NA	1	closed	FALSE	simple	0.1	0.9	1049.3254	00:17:29	10102.26	10254.36	10100.21	10100.36	2286.91	2227.75	0	0.762	26154	235385	261539	89731273	155877244
1	0.03	0.03	42220	42401300	33939300000	6046090	12889300	0.7669	0.9998	0.8752	0.9996	0.8752	0.9994	0.819	0.8175	human	NA	NA	2	open	FALSE	simple	0.1	0.9	1200.1853	00:20:00	10269.88	10420.21	10265.43	10266.33	2286.91	2295.38	0	NA	26154	235385	261539	89731273	155877244
1	0.03	0.03	42220	42401300	33939300000	6046090	12889300	0.7669	0.9998	0.8752	0.9996	0.8752	0.9994	0.819	0.8175	human	NA	NA	2	open	FALSE	simple	0.1	0.9	1200.1853	00:20:00	10269.88	10420.21	10265.43	10266.33	2286.91	2295.38	0	NA	26154	235385	261539	89731273	155877244
1	0.03	0.03	7678	42326200	20902000000	6036170	11387800	0.788	0.9997	0.8752	0.9995	0.8752	0.9992	0.83	0.8293	human	NA	NA	2	closed	FALSE	simple	0.1	0.9	1210.0483	00:20:10	10110.21	10262.3	10105.8	10107.06	2286.91	2227.03	0	0.762	26154	235385	261539	89731273	155877244
1	0.03	0.03	7678	42326200	20902000000	6036170	11387800	0.788	0.9997	0.8752	0.9995	0.8752	0.9992	0.83	0.8293	human	NA	NA	2	closed	FALSE	simple	0.1	0.9	1210.0483	00:20:10	10110.21	10262.3	10105.8	10107.06	2286.91	2227.03	0	0.762	26154	235385	261539	89731273	155877244
1	0.03	0.03	42384	41469600	33936400000	5328590	13821000	0.75	0.9998	0.8861	0.9996	0.8861	0.9994	0.815	0.8124	human	NA	NA	3	open	FALSE	simple	0.1	0.9	1119.9758	00:18:39	10281.58	10431.92	10279.54	10279.73	2286.91	2295.42	0	NA	26154	235385	261539	89731273	155877244
1	0.03	0.03	42384	41469600	33936400000	5328590	13821000	0.75	0.9998	0.8861	0.9996	0.8861	0.9994	0.815	0.8124	human	NA	NA	3	open	FALSE	simple	0.1	0.9	1119.9758	00:18:39	10281.58	10431.92	10279.54	10279.73	2286.91	2295.42	0	NA	26154	235385	261539	89731273	155877244
1	0.03	0.03	7773	41391500	20838000000	5318260	12257100	0.7715	0.9997	0.8861	0.9994	0.8861	0.9992	0.8264	0.8249	human	NA	NA	3	closed	FALSE	simple	0.1	0.9	1118.0521	00:18:38	10105.8	10256.16	10101.4	10102.78	2286.91	2224.43	0	0.761	26154	235385	261539	89731273	155877244
1	0.03	0.03	7773	41391500	20838000000	5318260	12257100	0.7715	0.9997	0.8861	0.9994	0.8861	0.9992	0.8264	0.8249	human	NA	NA	3	closed	FALSE	simple	0.1	0.9	1118.0521	00:18:38	10105.8	10256.16	10101.4	10102.78	2286.91	2224.43	0	0.761	26154	235385	261539	89731273	155877244
1	0.03	0.03	42125	42383600	33930300000	5956790	12907000	0.7666	0.9998	0.8768	0.9996	0.8768	0.9994	0.8195	0.818	human	NA	NA	4	open	FALSE	simple	0.1	0.9	1109.2486	00:18:29	10269.86	10420.2	10265.4	10266.21	2286.91	2295.37	0	NA	26154	235385	261539	89731273	155877244
