seq	abundance	similarity
ERR1039474.23042	1	19
ERR1039477.26541	1	11
ERR1039467.69575	1	7
ERR1039463.90770	1	503
ERR1039462.37423	1	296
ERR1039475.27670	1	0
ERR1039473.71339	1	6
ERR1039463.58811	1	2417
ERR1039468.6860	1	1140
ERR1039461.13592	9	4
ERR1039476.82457	1	0
ERR1039471.84195	1	0
ERR1039473.25163	1	0
ERR1039473.77525	1	232
ERR1039466.20408	17	33
ERR1039464.81171	1	52
ERR1039472.35374	1	5
ERR1039473.43934	1	26
ERR1039471.89373	1	0
ERR1039475.38484	1	0
ERR1039464.80754	1	85
ERR1039459.47213	2	248
ERR1039467.44987	1	0
ERR1039472.3415	1	7
ERR1039473.18166	1	540
ERR1039461.72195	1	8
ERR1039475.73709	1	18
ERR1039463.79349	1	264
ERR1039471.16969	1	4
ERR1039466.75590	1	678
ERR1039471.6196	10	6
ERR1039461.32386	1	699
ERR1039475.64630	1	24
ERR1039476.72620	5	0
ERR1039474.43583	1	0
ERR1039476.13978	1	6
ERR1039471.55196	1	7
ERR1039472.75307	1	63
ERR1039464.22264	1	36
ERR1039469.46681	1	260
ERR1039471.52325	1	5
ERR1039473.63811	1	27
ERR1039472.38521	1	4
ERR1039476.81527	1	9
ERR1039465.90963	1	179
ERR1039473.72202	1	55
ERR1039465.21558	1	16
ERR1039472.15058	1	0
ERR1039471.41641	1	1
ERR1039475.47473	1	63
ERR1039471.43753	1	10
ERR1039476.251	139	130
ERR1039460.58645	1	1152
ERR1039475.31833	1	9
ERR1039475.58626	1	6
ERR1039473.74603	1	0
ERR1039477.57807	1	12
ERR1039477.16759	1	0
ERR1039476.27884	1	4
ERR1039473.41823	2	24
ERR1039463.70210	1	1301
ERR1039462.23924	1	47
ERR1039471.59432	1	40
ERR1039469.24754	1	0
ERR1039475.57558	1	1
ERR1039463.69830	1	832
ERR1039473.66602	1	0
ERR1039459.36275	1	67
ERR1039473.11046	3	22
ERR1039464.77890	1	53
ERR1039460.24247	1	13
ERR1039459.49475	1	1
ERR1039460.81916	1	2
ERR1039471.44990	1	10
ERR1039475.55743	1	17
ERR1039477.26379	1	222
ERR1039473.50244	1	3
ERR1039471.55887	1	13
ERR1039465.79134	1	398
ERR1039474.42155	1	178
ERR1039461.71731	1	1
ERR1039465.87763	1	76
ERR1039460.6465	1	217
ERR1039464.44588	1	19
ERR1039462.22161	1	85
ERR1039475.498	1	3
ERR1039475.72681	1	167
ERR1039468.9461	1	2806
ERR1039471.92478	1	13
ERR1039475.62456	1	44
ERR1039461.5086	1	180
ERR1039472.37642	1	16
ERR1039461.54935	1	716
ERR1039471.18432	1	47
ERR1039473.6059	1	13
ERR1039473.11349	1	51
ERR1039463.62865	1	705
ERR1039465.79562	1	243
ERR1039467.65917	1	691
ERR1039474.57929	1	4
ERR1039475.76380	1	1
ERR1039461.72137	1	161
ERR1039464.27567	1	35
ERR1039465.54451	1	242
ERR1039460.5901	1	68
ERR1039475.16737	1	1095
ERR1039471.67158	1	5
ERR1039459.1	1	294
ERR1039466.39941	2	29
ERR1039475.53493	1	9
ERR1039472.27919	1	2
ERR1039477.56162	1	862
ERR1039473.79690	1	0
ERR1039468.26761	1	724
ERR1039476.17914	1	8
ERR1039477.67262	1	66
ERR1039463.79567	1	0
ERR1039472.37487	1	22
ERR1039474.13303	1	21
ERR1039471.58105	1	13
ERR1039461.47824	20	258
ERR1039468.3643	1	111
ERR1039475.31278	3	2
ERR1039459.4	13247	2010
ERR1039471.57767	1	24
ERR1039463.6483	1	164
ERR1039459.12903	1	155
ERR1039477.12559	1	3
ERR1039464.65254	1	522
ERR1039467.54931	1	2
ERR1039462.82182	1	294
ERR1039477.26209	1	17
ERR1039476.38232	1	18
ERR1039472.45625	1	15
ERR1039477.33394	5	48
ERR1039469.36224	2	298
ERR1039465.70919	1	24
ERR1039471.67870	1	11
ERR1039473.47478	1	26
ERR1039474.12119	67	37
ERR1039475.27894	1	0
ERR1039466.19593	1	6
ERR1039476.27646	1	5
ERR1039467.45874	1	1159
ERR1039475.73855	1	1
ERR1039476.78843	1	11
ERR1039466.70022	1	9
ERR1039473.42900	1	5
ERR1039461.60697	1	18
ERR1039463.20273	1	618
ERR1039474.18188	1	14
ERR1039464.36364	1	0
ERR1039459.40172	1	180
ERR1039477.64055	1	22
ERR1039475.6311	1	94
ERR1039472.74726	1	82
ERR1039472.13717	1	10
ERR1039471.87340	1	7
ERR1039460.32738	1	549
ERR1039471.75179	1	1
ERR1039461.29210	1	5
ERR1039475.63632	1	0
ERR1039462.75050	1	128
ERR1039471.65737	3	20
ERR1039472.18457	1	68
ERR1039476.75835	1	0
ERR1039475.61283	1	0
ERR1039477.66643	1	975
ERR1039465.84381	2	29
ERR1039459.18554	1	63
ERR1039476.49184	12	71
ERR1039476.74595	1	85
ERR1039471.24150	12	14
ERR1039477.52976	1	29
ERR1039461.64007	1	202
ERR1039464.54229	1	0
ERR1039473.14938	1	21
ERR1039462.58248	1	63
ERR1039472.58841	1	3
ERR1039459.59339	1	11
ERR1039467.59171	1	755
ERR1039469.41926	1	515
ERR1039473.18513	1	31
ERR1039466.68563	1	205
ERR1039471.26731	1	110
ERR1039471.86318	1	140
ERR1039477.49774	1	0
ERR1039476.60642	1	3
ERR1039476.77375	1	4
ERR1039471.47384	1	71
ERR1039473.57850	1	0
ERR1039462.65842	1	39
ERR1039459.6	1	61
ERR1039475.73410	1	0
ERR1039462.56751	1	3013
ERR1039476.78653	1	6
ERR1039476.63851	1	0
ERR1039476.49404	9	11
ERR1039476.44896	1	6
ERR1039461.68817	1	228
ERR1039462.64147	1	206
ERR1039471.64679	1	9
ERR1039465.33435	1	27
ERR1039476.46405	1	4
ERR1039476.5703	1	4
ERR1039464.61647	1	13
ERR1039459.181	1	234
ERR1039466.80322	1	65
ERR1039476.22823	1	193
ERR1039473.75345	1	45
ERR1039471.10992	1	6
ERR1039472.36889	1	5
ERR1039467.69298	1	7
ERR1039467.39500	1	73
ERR1039477.29419	1	40
ERR1039465.53939	1	0
ERR1039464.77322	1	17
ERR1039476.87542	1	32
ERR1039459.56348	1	10
ERR1039473.61825	1	4
ERR1039465.22032	1	177
ERR1039476.31939	1	0
ERR1039461.77770	1	61
ERR1039460.13210	1	31
ERR1039467.19840	1	31
ERR1039460.9984	1	59
ERR1039477.68791	1	8
ERR1039462.20880	1	25
ERR1039471.72832	1	2
ERR1039464.30381	1	7
ERR1039467.36212	4	685
ERR1039474.33846	1	6
ERR1039477.33960	1	4
ERR1039471.9054	1	6
ERR1039459.63916	1	19
ERR1039464.48708	16	10
ERR1039472.22858	1	22
ERR1039471.88337	1	3
ERR1039476.52859	1	132
ERR1039462.78311	1	0
ERR1039459.7	42712	3741
ERR1039471.46836	1	15
ERR1039464.3999	1	25
ERR1039469.66346	1	98
ERR1039474.58078	1	192
ERR1039462.23509	1	286
ERR1039477.74699	1	6
ERR1039462.87353	1	422
ERR1039459.11526	5	1
ERR1039475.10358	1	52
ERR1039476.4800	1	23
