iter	label	cutoff	numotus	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	dataset	ref	region	seed	method	printref	ref_weight	ref_frac	sample_frac
1	0.03	0.03	42266	42418600	33943200000	6076890	12872100	0.7672	0.9998	0.8747	0.9996	0.8747	0.9994	0.8189	0.8174	human	NA	NA	1	open	FALSE	simple	0.1	0.9
1	0.03	0.03	7742	42341900	20918200000	6066840	11387100	0.7881	0.9997	0.8747	0.9995	0.8747	0.9992	0.8298	0.8291	human	NA	NA	1	closed	FALSE	simple	0.1	0.9
1	0.03	0.03	42220	42401300	33939300000	6046090	12889300	0.7669	0.9998	0.8752	0.9996	0.8752	0.9994	0.819	0.8175	human	NA	NA	2	open	FALSE	simple	0.1	0.9
1	0.03	0.03	7678	42326200	20902000000	6036170	11387800	0.788	0.9997	0.8752	0.9995	0.8752	0.9992	0.83	0.8293	human	NA	NA	2	closed	FALSE	simple	0.1	0.9
1	0.03	0.03	42384	41469600	33936400000	5328590	13821000	0.75	0.9998	0.8861	0.9996	0.8861	0.9994	0.815	0.8124	human	NA	NA	3	open	FALSE	simple	0.1	0.9
1	0.03	0.03	7773	41391500	20838000000	5318260	12257100	0.7715	0.9997	0.8861	0.9994	0.8861	0.9992	0.8264	0.8249	human	NA	NA	3	closed	FALSE	simple	0.1	0.9
1	0.03	0.03	42125	42383600	33930300000	5956790	12907000	0.7666	0.9998	0.8768	0.9996	0.8768	0.9994	0.8195	0.818	human	NA	NA	4	open	FALSE	simple	0.1	0.9
1	0.03	0.03	7682	42307500	20905600000	5946700	11424600	0.7874	0.9997	0.8768	0.9995	0.8768	0.9992	0.8305	0.8297	human	NA	NA	4	closed	FALSE	simple	0.1	0.9
1	0.03	0.03	42315	42414600	33948500000	5963130	12876100	0.7671	0.9998	0.8767	0.9996	0.8767	0.9994	0.8198	0.8183	human	NA	NA	5	open	FALSE	simple	0.1	0.9
1	0.03	0.03	7704	42341700	20977300000	5953720	11372800	0.7883	0.9997	0.8767	0.9995	0.8767	0.9992	0.8309	0.8301	human	NA	NA	5	closed	FALSE	simple	0.1	0.9
1	0.03	0.03	42238	42456600	33940100000	6052870	12834100	0.7679	0.9998	0.8752	0.9996	0.8752	0.9994	0.8195	0.818	human	NA	NA	6	open	FALSE	simple	0.1	0.9
1	0.03	0.03	7690	42380000	20867000000	6042900	11329000	0.7891	0.9997	0.8752	0.9995	0.8752	0.9992	0.8306	0.8299	human	NA	NA	6	closed	FALSE	simple	0.1	0.9
1	0.03	0.03	42251	42453500	33940100000	6045980	12837100	0.7678	0.9998	0.8753	0.9996	0.8753	0.9994	0.8195	0.8181	human	NA	NA	7	open	FALSE	simple	0.1	0.9
1	0.03	0.03	7737	42379800	20957400000	6036480	11332800	0.789	0.9997	0.8753	0.9995	0.8753	0.9992	0.8306	0.8299	human	NA	NA	7	closed	FALSE	simple	0.1	0.9
1	0.03	0.03	42356	42009400	33941100000	5811700	13281200	0.7598	0.9998	0.8785	0.9996	0.8785	0.9994	0.8167	0.8148	human	NA	NA	8	open	FALSE	simple	0.1	0.9
1	0.03	0.03	7833	41935200	20976100000	5801780	11780000	0.7807	0.9997	0.8785	0.9994	0.8785	0.9992	0.8277	0.8267	human	NA	NA	8	closed	FALSE	simple	0.1	0.9
1	0.03	0.03	42285	42441000	33936500000	6004080	12849600	0.7676	0.9998	0.8761	0.9996	0.8761	0.9994	0.8198	0.8183	human	NA	NA	9	open	FALSE	simple	0.1	0.9
1	0.03	0.03	7684	42365600	20908200000	5994220	11364400	0.7885	0.9997	0.876	0.9995	0.876	0.9992	0.8307	0.83	human	NA	NA	9	closed	FALSE	simple	0.1	0.9
1	0.03	0.03	42242	42334600	33941400000	5986710	12956000	0.7657	0.9998	0.8761	0.9996	0.8761	0.9994	0.8188	0.8172	human	NA	NA	10	open	FALSE	simple	0.1	0.9
1	0.03	0.03	7695	42259400	20886800000	5976790	11449300	0.7868	0.9997	0.8761	0.9995	0.8761	0.9992	0.8299	0.8291	human	NA	NA	10	closed	FALSE	simple	0.1	0.9
1	0.03	0.03	41605	42547000	33927000000	6343540	12743600	0.7695	0.9998	0.8703	0.9996	0.8703	0.9994	0.8181	0.8168	human	NA	NA	1	open	FALSE	abundance	0.1	0.9
1	0.03	0.03	6302	42456500	19999100000	6330740	10617000	0.8	0.9997	0.8702	0.9995	0.8702	0.9992	0.8339	0.8336	human	NA	NA	1	closed	FALSE	abundance	0.1	0.9
1	0.03	0.03	41697	42636900	33926700000	6415080	12653700	0.7711	0.9998	0.8692	0.9996	0.8692	0.9994	0.8184	0.8172	human	NA	NA	2	open	FALSE	abundance	0.1	0.9
1	0.03	0.03	6320	42547600	19997000000	6401940	10545000	0.8014	0.9997	0.8692	0.9995	0.8692	0.9992	0.8342	0.8339	human	NA	NA	2	closed	FALSE	abundance	0.1	0.9
1	0.03	0.03	41620	42611200	33921300000	6354840	12679400	0.7707	0.9998	0.8702	0.9996	0.8702	0.9994	0.8187	0.8174	human	NA	NA	3	open	FALSE	abundance	0.1	0.9
1	0.03	0.03	6302	42520700	19924200000	6341560	10630200	0.8	0.9997	0.8702	0.9995	0.8702	0.9992	0.8339	0.8336	human	NA	NA	3	closed	FALSE	abundance	0.1	0.9
1	0.03	0.03	41511	42569300	33923600000	6329530	12721300	0.7699	0.9998	0.8706	0.9996	0.8706	0.9994	0.8184	0.8172	human	NA	NA	4	open	FALSE	abundance	0.1	0.9
1	0.03	0.03	6328	42475100	19863000000	6315810	10591000	0.8004	0.9997	0.8706	0.9995	0.8706	0.9992	0.8343	0.834	human	NA	NA	4	closed	FALSE	abundance	0.1	0.9
1	0.03	0.03	41716	42640800	33943400000	6385090	12649800	0.7712	0.9998	0.8698	0.9996	0.8698	0.9994	0.8187	0.8175	human	NA	NA	5	open	FALSE	abundance	0.1	0.9
1	0.03	0.03	6306	42551000	19962600000	6371670	10581300	0.8009	0.9997	0.8698	0.9995	0.8698	0.9992	0.8342	0.8339	human	NA	NA	5	closed	FALSE	abundance	0.1	0.9
1	0.03	0.03	41600	42646900	33931600000	6402950	12643700	0.7713	0.9998	0.8695	0.9996	0.8695	0.9994	0.8186	0.8175	human	NA	NA	6	open	FALSE	abundance	0.1	0.9
1	0.03	0.03	6254	42557600	19923800000	6390550	10569800	0.801	0.9997	0.8694	0.9995	0.8694	0.9992	0.8341	0.8338	human	NA	NA	6	closed	FALSE	abundance	0.1	0.9
1	0.03	0.03	41464	42631600	33925100000	6375410	12659000	0.771	0.9998	0.8699	0.9996	0.8699	0.9994	0.8187	0.8175	human	NA	NA	7	open	FALSE	abundance	0.1	0.9
1	0.03	0.03	6295	42542300	19948800000	6362040	10605400	0.8005	0.9997	0.8699	0.9995	0.8699	0.9992	0.834	0.8337	human	NA	NA	7	closed	FALSE	abundance	0.1	0.9
1	0.03	0.03	41577	42641300	33927700000	6380560	12649300	0.7712	0.9998	0.8698	0.9996	0.8698	0.9994	0.8188	0.8176	human	NA	NA	8	open	FALSE	abundance	0.1	0.9
1	0.03	0.03	6284	42547000	19927800000	6366560	10583700	0.8008	0.9997	0.8698	0.9995	0.8698	0.9992	0.8342	0.8339	human	NA	NA	8	closed	FALSE	abundance	0.1	0.9
