num_ref_seqs	num_sample_seqs	num_total_seqs	n_gaps	total_chars	dataset	ref_weight	ref_frac	sample_frac	seed
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	1
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	1
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	2
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	2
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	3
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	3
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	4
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	4
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	5
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	5
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	6
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	6
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	7
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	7
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	8
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	8
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	9
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	9
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	10
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	10
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	11
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	11
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	12
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	12
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	13
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	13
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	14
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	14
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	15
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	15
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	16
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	16
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	17
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	17
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	18
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	18
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	19
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	19
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	20
26154	235385	261539	89731273	155877244	human	simple	0.1	0.9	20
26154	235385	261539	89731273	155877244	human	abundance	0.1	0.9	1
